,ASM,Contrast,Correlation,SSV,IDM,SA,SV,SE,Entropy,DV,DE,IMC1,IMC2,MCC,DfASM,DfContrast,DfCorrelation,DfSSV,DfIDM,DfSA,DfSV,DfSE,DfEntropy,DfDV,DfDE,DfIMC1,DfIMC2,DfMCC,label
0,0.00018239704798735047,336.41256663916033,0.8454012942298661,1087.8192001905522,0.09124862538160478,237.44437900305414,4014.864234123038,8.020990227852534,13.045804452751664,0.0001394811385649903,5.097653008762015,-0.15699790187432056,0.9344501170512889,6.374628494414657,0.00013542331662636358,388.90996253174694,0.17835736399209456,8.344606586040754,0.06849368393706776,2.1403750774002788,389.2748546768271,0.06202745700196566,1.1508239085722831,0.0001248047918594044,1.2026406548562765,0.16258574692586947,0.09423913375944981,1.1240264519969303,medium
0,0.00021537020398636433,283.816458307683,0.8681551538719023,1075.935535226749,0.09553163744869876,238.60275107180846,4019.925682599307,7.986949992329162,12.842696629250621,0.0001682354697979002,4.947048485525249,-0.17492759415362003,0.9498800489222098,6.194329998253892,0.0001587821314722232,298.7464723103704,0.1384893880984568,9.808361168363263,0.08645104154307742,2.6941437887355733,300.3037795713244,0.042535975048574315,1.0351852016264989,0.0001398059287263937,1.0809313373261435,0.14715202525439616,0.06670671176310361,1.0648404449258857,dry
0,0.00024095236766846857,291.1344880608984,0.847950687998159,956.9283962779735,0.09526922008824254,230.5024390671569,3536.579097050996,7.892390061365905,12.769929893824216,0.0001654825449787258,4.972610824435313,-0.16178626276561944,0.9364249605014928,6.136594295798442,0.00016501544938875583,310.8651676664084,0.16192280270700787,11.04809712241331,0.09442952981987869,2.7415557778097366,312.66439428656304,0.04699673857733533,1.0606211788831104,0.00013013406324438855,1.091810201417891,0.1526623350675692,0.08775284054719323,1.1502476116371216,medium
0,0.0002648471006796105,267.03843698178605,0.8477055035669514,876.5621331564829,0.0996077609028324,239.33554766031799,3239.210095644145,7.81016213960585,12.614030002127647,0.00018193146079471071,4.890852599467091,-0.1630962967506771,0.9363823846416073,5.984893522294542,0.00017945653409077143,289.7108935130989,0.1650637614180115,4.605602693040055,0.08759640701208472,2.4095432585400545,290.8241342259644,0.0501880634379388,1.0526910398043103,0.00015145973840635177,1.125817087984176,0.15340911894283488,0.08798287670889826,1.070293414349253,dry
0,0.00024544849541928605,256.91187607763743,0.8695223828994934,984.4115004960914,0.10341773820917546,237.75228574465467,3680.734125906726,7.909028792187049,12.702212356942495,0.00018613877420822382,4.882106478187442,-0.17417613829278528,0.9472909587072702,6.23828153536793,0.00018554218568560857,287.42402688394907,0.1458380305668603,4.291678026878799,0.07340059249764677,2.144024157263715,288.6146706239233,0.046833866935752866,1.1061422984237232,0.00017125953198484292,1.1741019073073167,0.1591338360827434,0.07262236622029905,1.374644146045095,medium
0,0.00014663327738493896,390.53363110019006,0.8544769346250198,1341.5645395105057,0.08713977983585666,233.06495683876966,4975.7245269418245,8.179030015535329,13.3136452966049,0.0001268825809659509,5.21296582649198,-0.15959552423225531,0.9408430116240345,6.55908201247231,0.00011669160738467058,442.7578636385357,0.16464684350439673,12.101898115264703,0.059677674155390215,2.164351119588389,446.1007576022894,0.05732387554915519,1.128553175256867,0.00011459584586456253,1.1717077814882204,0.1560822557358425,0.08221441598363388,1.2026964717680277,medium
0,0.0002141151623817335,342.29092490340554,0.842320569221006,1085.0432275157048,0.09579585353636595,240.5319334793162,3997.8819851594035,7.978754978859556,12.937150880623218,0.0001513249225342444,5.055118558271891,-0.16082234102474266,0.9381825182979809,6.162048707241331,0.00014210068665692426,382.9923510898764,0.17596231794760497,10.687455712499286,0.0709915400036861,2.642487137890498,382.31373756343964,0.05154202436951483,1.0401862849354018,0.00011522994567771903,1.0935817461748645,0.14790943395293293,0.08498954817025284,0.9123626671156471,dry
0,0.00021386816514678368,318.4392636329406,0.8524691890570154,1078.9765267631742,0.09331841424199906,227.99498389169898,3997.466843419755,7.9894280046057595,12.92773977997544,0.00015540078787444213,5.022035150969563,-0.16440292000197437,0.9408699233935783,6.31759908478774,0.00015259705241268978,342.4523154879115,0.15836066557994488,10.044527032174301,0.0930900776544829,2.744095862692234,344.639731903495,0.05149650276547213,1.0463371973501516,0.00012254713780411407,1.103620931615973,0.14861127102245647,0.08158031617471984,1.3378282548491391,dry
0,0.0001786945921220409,340.1198212132628,0.8435181834191685,1086.5195442626073,0.08960473086730704,236.8216176005905,4005.958355837158,8.017018606771847,13.065454237995075,0.00013790611002425574,5.124906804127712,-0.15313572165173173,0.9319585461706628,6.492325406417658,0.0001259720214059798,380.84522154921996,0.17492836088153274,6.467509016300028,0.06522724624028485,2.2053568489629924,379.7959609711543,0.058713160859672264,1.0349947188017072,0.0001125026569576425,1.0894641536565546,0.1462529103576773,0.09478676402645114,1.1362835602099937,medium
0,0.00020444957535151913,313.0992812623814,0.8508692299005383,1049.4660125642208,0.09198756221997981,237.46493342476896,3884.7647689944974,7.986771538641471,12.937844256433003,0.00015096402402355781,5.032507304946605,-0.16244327787124244,0.939586283163007,6.305570508028295,0.00013834882147798172,322.52501027247365,0.1533728780497331,6.649374846922001,0.08696893895411462,2.8714058853997244,321.3394106310079,0.04827558353948902,0.9868427270761444,0.00011300713287918098,1.0337792226698657,0.14010265003830197,0.08041495755301087,1.2419510022820033,dry
